"","unique_id","age","gender","mean_self_report","n_items","amp_score","proportion_too_fast_trials","n_trials","exclude_amp"
"1",548957868,23,NA,NA,NA,NA,NA,NA,NA
"2",504546409,NA,NA,NA,NA,0.375,0,8,"include"
"3",994692692,21,"female",1.33333333333333,3,0.805555555555556,0,72,"include"
"4",902223169,19,"female",2.66666666666667,3,0.569444444444444,0,72,"include"
"5",469672453,27,"male",1.33333333333333,3,0.25,0,72,"include"
"6",637089700,43,"male",2,3,0.5,0,72,"include"
"7",4345805,54,"male",3,3,0.361111111111111,0.0416666666666667,72,"include"
"8",786441188,27,"female",1.66666666666667,3,0.763888888888889,0,72,"include"
"9",510787584,34,"female",4,3,0.513888888888889,0.0138888888888889,72,"include"
"10",684265529,19,"nonbinary",1,3,0.541666666666667,0,72,"include"
"11",47022865,21,"male",1,3,0.472222222222222,0,72,"include"
"12",199802590,27,"male",5.66666666666667,3,0.527777777777778,0,72,"include"
"13",295696078,32,"male",1,3,0.541666666666667,0,72,"include"
"14",32034696,38,"male",1.33333333333333,3,0.625,0,72,"include"
"15",609227927,18,"male",NA,NA,0.986111111111111,0.0555555555555556,72,"include"
"16",59367911,47,"female",1,3,0.486111111111111,0,72,"include"
"17",386661197,46,"male",2.33333333333333,3,0.444444444444444,0,72,"include"
"18",238678139,38,"female",1,3,0.652777777777778,0,72,"include"
"19",764499289,52,"male",1.66666666666667,3,0.555555555555556,0,72,"include"
"20",586346915,36,"female",1,3,0.541666666666667,0,72,"include"
"21",100125154,29,"male",2.33333333333333,3,0.513888888888889,0,72,"include"
"22",550721671,28,"female",1,3,0.527777777777778,0,72,"include"
"23",161234436,25,"male",6.66666666666667,3,0.569444444444444,0.111111111111111,72,"exclude"
"24",621686155,42,"female",1,3,0.513888888888889,0,72,"include"
"25",238079276,28,"female",1.66666666666667,3,0.541666666666667,0,72,"include"
"26",561842983,23,"female",1,3,0.944444444444444,0,72,"include"
"27",627537443,27,"female",1,3,0.680555555555556,0,72,"include"
"28",591041139,29,"nonbinary",3.66666666666667,3,0.611111111111111,0,72,"include"
"29",601833546,34,"male",3,3,0.5,0,72,"include"
"30",874662429,36,"male",3,3,0.527777777777778,0,72,"include"
"31",658421880,53,"female",1,3,0.513888888888889,0,72,"include"
"32",557207580,28,"female",1,3,0.555555555555556,0,72,"include"
"33",13708908,25,"male",1,3,0.555555555555556,0,72,"include"
"34",699441423,48,"male",1,3,0.986111111111111,0,72,"include"
"35",841303698,19,"female",1,3,0.583333333333333,0,72,"include"
"36",881713870,25,"nonbinary",5.33333333333333,3,0.486111111111111,0,72,"include"
"37",663795436,39,"female",1,3,0.527777777777778,0,72,"include"
"38",422087765,45,"female",1,3,0.486111111111111,0,72,"include"
"39",343944905,31,"male",4.66666666666667,3,0.527777777777778,0.319444444444444,72,"exclude"
"40",920212493,61,"male",1.33333333333333,3,0.861111111111111,0,72,"include"
"41",526570034,63,"male",1,3,0.611111111111111,0,72,"include"
"42",882246022,61,"male",1,3,0.527777777777778,0,72,"include"
"43",904883244,59,"male",1,3,0.611111111111111,0,72,"include"
"44",293831276,60,"female",1,3,0.0694444444444444,0,72,"include"
"45",530863876,42,"male",2.66666666666667,3,0.430555555555556,0,72,"include"
"46",753565148,26,"female",1,3,0.555555555555556,0,72,"include"
"47",727031797,27,"male",1,3,0.736111111111111,0.0555555555555556,72,"include"
"48",751712225,22,"female",1,3,0.5,0,72,"include"
"49",464934738,21,"male",2,3,0.486111111111111,0.0833333333333333,72,"include"
"50",563522777,53,"male",2.66666666666667,3,0.5,0.0833333333333333,72,"include"
"51",373740279,51,"female",1,3,0.625,0,72,"include"
"52",589607780,35,"female",1,3,0.486111111111111,0,72,"include"
"53",681045009,26,"male",3,3,0.958333333333333,0.0416666666666667,72,"include"
"54",855399085,32,"female",1,3,0,0,72,"include"
"55",821599197,45,"female",1,3,0.361111111111111,0,72,"include"
"56",311497290,48,"male",3,3,0.291666666666667,0,72,"include"
"57",254118946,64,"female",2.66666666666667,3,0.458333333333333,0,72,"include"
"58",317124448,36,"female",1,3,0.875,0,72,"include"
"59",730068356,51,"female",1,3,0.944444444444444,0,72,"include"
"60",236383059,37,"male",1,3,0.486111111111111,0,72,"include"
"61",246374429,21,"female",1,3,0.5,0,72,"include"
"62",952386283,26,"female",2.33333333333333,3,0.527777777777778,0,72,"include"
"63",694264273,31,"male",2.33333333333333,3,0.597222222222222,0,72,"include"
"64",175188025,42,"male",1,3,0.819444444444444,0,72,"include"
"65",339232704,31,"male",2,3,0.777777777777778,0,72,"include"
"66",386456897,23,"male",1.33333333333333,3,0.472222222222222,0,72,"include"
"67",637668138,30,"male",2,3,0.5,0.0138888888888889,72,"include"
"68",237498336,49,"male",1,3,0.583333333333333,0,72,"include"
"69",631750145,24,"female",1,3,0.513888888888889,0.125,72,"exclude"
"70",867476338,29,"female",1,3,0.472222222222222,0,72,"include"
"71",196574198,21,"female",1,3,0.888888888888889,0,72,"include"
